measure,location,sex,age,cause,metric,year,val,upper,lower
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,1994,14606.379532301742,14719.408799086772,14494.180129765939
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,1996,18353.284665349758,18537.403266321202,18185.337530157438
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,1996,10055.528222764038,10180.743478506958,9930.215651672386
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,1996,13824.258318999819,13978.982355043105,13678.038458368985
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,1997,17942.9156943062,18111.293767256866,17776.076144637333
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,1997,9883.135153230438,10017.631087739259,9745.819071589542
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,1997,13546.2280415691,13671.304231082424,13415.566642695028
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,1999,17367.121636527096,17556.726290962208,17183.155489734985
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,1999,9551.73471714169,9676.868200658613,9429.883028015798
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,1999,13127.010113814296,13239.39813551957,13007.25507742431
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2000,17074.573554509047,17243.299307551486,16902.058017059797
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2000,9426.656012551693,9542.460900215876,9305.016938254847
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2000,12940.178700272209,13056.676753638565,12829.634304912046
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,1998,17556.49112112231,17718.20577863186,17390.68761036552
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,1998,9789.558771619893,9920.404463239101,9660.34923016771
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,1998,13326.870038436908,13447.659950391813,13210.30272590884
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2001,16646.980606393707,16809.589901631345,16483.062434546842
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2001,9211.280508149259,9339.177117027602,9088.382713483825
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2001,12634.610134091192,12743.587303102599,12519.146614382984
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2003,15792.864193375064,15949.534329753404,15644.436531372305
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2003,8873.339033173635,8983.32723858689,8759.8187293061
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2003,12063.970888009875,12161.38334483723,11959.028029691155
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2002,16254.391483722105,16412.272124079478,16100.177392217918
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2002,9063.18130429933,9175.962478228268,8946.616142065028
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2002,12375.864366780448,12472.079592803999,12269.130176410583
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2004,15177.758430820495,15340.92011499514,15024.975013845871
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2004,8542.460652451786,8646.704641537359,8436.49155321838
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2004,11608.186596622412,11709.530133335906,11501.60987600307
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2005,14803.352605172626,14949.802938957604,14659.566616212307
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2005,8401.601411756339,8503.332261221933,8298.196220161211
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2005,11366.181493203987,11461.71073382313,11266.347301550197
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2007,14122.726678045277,14259.889528599668,13976.625448480892
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2007,8186.7816097763625,8274.082823926652,8100.325577816968
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2007,10948.923598670419,11034.411963244938,10857.385300514177
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2008,13924.902623060798,14058.35044291466,13780.555233547237
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2008,8050.376712591956,8139.766516006281,7956.416740444392
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2008,10789.932521446046,10879.175178884208,10703.406627791463
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2009,13592.078868142335,13733.251869668426,13456.352592165633
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2009,7984.734893391725,8076.2531776121305,7892.658620196996
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2009,10602.086755299055,10687.007320738981,10520.404030644517
